entry_time,exit_time,side,entry,exit,qty,pnl,reason,week_id
2025-03-19 12:00:00,2025-03-19 12:00:00,LONG,83196.5546875,84708.28125,0.01712021871079403,25.88108938091684,TP2,"(2025, 12)"
2025-04-03 04:00:00,2025-04-03 04:00:00,SHORT,82510.796875,82510.796875,0.012852154041098778,0.0,STOP,"(2025, 14)"
2025-04-11 20:00:00,2025-04-11 20:00:00,SHORT,78699.6171875,83434.4453125,0.011043974864603456,-52.29132280071751,FRIDAY,"(2025, 15)"
2025-04-15 20:00:00,2025-04-15 20:00:00,SHORT,85695.6875,83706.9453125,0.023470132422887778,46.67604249560851,TP2,"(2025, 16)"
2025-04-22 16:00:00,2025-04-22 16:00:00,SHORT,88137.03125,91702.5859375,0.02804612711468894,-100.0,STOP,"(2025, 17)"
2025-05-06 20:00:00,2025-05-06 20:00:00,LONG,94542.515625,94542.515625,0.020299867099307586,0.0,STOP,"(2025, 19)"
2025-05-23 20:00:00,2025-05-23 20:00:00,SHORT,106853.828125,107249.296875,0.01956540347530479,-7.7375056556244415,FRIDAY,"(2025, 21)"
2025-05-27 12:00:00,2025-05-27 12:00:00,LONG,108902.5625,108902.5625,0.02879951040832306,0.0,STOP,"(2025, 22)"
2025-06-05 12:00:00,2025-06-05 12:00:00,SHORT,105538.4609375,105538.4609375,0.01903198563085085,0.0,STOP,"(2025, 23)"
2025-06-20 20:00:00,2025-06-20 20:00:00,LONG,105199.2109375,103303.46875,0.024633528156315133,-46.698818552895695,FRIDAY,"(2025, 25)"
2025-06-27 20:00:00,2025-06-27 20:00:00,SHORT,105697.1875,107090.296875,0.015413905510350798,-21.473256271833858,FRIDAY,"(2025, 26)"
2025-07-02 16:00:00,2025-07-02 16:00:00,LONG,107180.140625,108798.7890625,0.020466181234430513,33.12755227670277,TP2,"(2025, 27)"
2025-07-09 12:00:00,2025-07-09 12:00:00,LONG,107912.921875,109661.359375,0.019889612649793647,34.77574461737358,TP2,"(2025, 28)"
2025-07-18 20:00:00,2025-07-18 20:00:00,LONG,119154.46875,118004.8671875,0.023209639253302387,-26.681837550657757,FRIDAY,"(2025, 29)"
2025-07-22 16:00:00,2025-07-22 16:00:00,LONG,117237.3828125,119619.109375,0.013593680637713544,32.376430256984285,TP2,"(2025, 30)"
2025-07-30 16:00:00,2025-07-30 16:00:00,LONG,117524.15625,117524.15625,0.020575073298698628,0.0,STOP,"(2025, 31)"
2025-08-07 00:00:00,2025-08-07 00:00:00,LONG,114812.5234375,114812.5234375,0.02235276859994831,0.0,STOP,"(2025, 32)"
2025-08-13 16:00:00,2025-08-13 16:00:00,LONG,118503.2734375,122321.09375,0.011531552309103259,44.025394640350704,TP2,"(2025, 33)"
2025-08-22 12:00:00,2025-08-22 12:00:00,LONG,115020.03125,111848.28125,0.03152833609206274,-100.0,STOP,"(2025, 34)"
2025-08-29 08:00:00,2025-08-29 08:00:00,LONG,109887.8125,109887.8125,0.01043301920164581,0.0,STOP,"(2025, 35)"
2025-09-02 16:00:00,2025-09-02 16:00:00,SHORT,109716.6640625,109716.6640625,0.018811191483233056,0.0,STOP,"(2025, 36)"
2025-09-10 04:00:00,2025-09-10 04:00:00,SHORT,112470.359375,112470.359375,0.019644918105247648,0.0,STOP,"(2025, 37)"
2025-09-17 20:00:00,2025-09-17 20:00:00,SHORT,116461.4296875,116461.4296875,0.019722954128723092,0.0,STOP,"(2025, 38)"
2025-09-25 00:00:00,2025-09-25 00:00:00,LONG,112439.0234375,112439.0234375,0.01337736716692446,0.0,STOP,"(2025, 39)"
2025-09-30 16:00:00,2025-09-30 16:00:00,SHORT,114435.53125,114435.53125,0.017390831770875793,0.0,STOP,"(2025, 40)"
2025-10-09 16:00:00,2025-10-09 16:00:00,LONG,123500.1640625,120250.1328125,0.030768934914087366,-100.0,STOP,"(2025, 41)"
2025-10-21 12:00:00,2025-10-21 12:00:00,LONG,108131.34375,111711.03125,0.010654449564499374,38.13959992541886,TP2,"(2025, 43)"
2025-10-28 16:00:00,2025-10-28 16:00:00,LONG,113909.2890625,113909.2890625,0.022831620367232342,0.0,STOP,"(2025, 44)"
2025-11-11 12:00:00,2025-11-11 12:00:00,SHORT,106446.6640625,104365.1796875,0.021931026920335543,45.6490898623828,TP2,"(2025, 46)"
2025-12-09 12:00:00,2025-12-09 12:00:00,LONG,90477.609375,92255.546875,0.014908337021593795,26.50609145332992,TP2,"(2025, 50)"
2025-12-18 08:00:00,2025-12-18 08:00:00,SHORT,87222.421875,87222.421875,0.006749260745034021,0.0,STOP,"(2025, 51)"
2025-12-26 12:00:00,2025-12-26 12:00:00,LONG,88131.7890625,88131.7890625,0.018958469103619882,0.0,STOP,"(2025, 52)"
2025-12-31 20:00:00,2025-12-31 20:00:00,LONG,87263.125,87263.125,0.012463825693397677,0.0,STOP,"(2026, 1)"
2026-01-13 20:00:00,2026-01-13 20:00:00,SHORT,91932.1484375,94674.4453125,0.03646578199160148,-100.00000000000001,STOP,"(2026, 3)"
2026-01-27 16:00:00,2026-01-27 16:00:00,SHORT,88643.2578125,88643.2578125,0.021241146756410513,0.0,STOP,"(2026, 5)"
