iso_year,iso_week,side,entry_time,entry_price,mon_high,mon_low,mon_mid,mon_range,hit_mid,hit_full,mae_mid,mae_full,reward_ratio,sweep_retest
2024,7,SHORT,2024-02-13 04:00:00,49809.1796875,50280.4765625,47745.76171875,49013.119140625,2534.71484375,True,False,0.1689323410701709,,0.8140631573756294,True
2024,8,LONG,2024-02-20 08:00:00,51834.4140625,52483.32421875,51711.8203125,52097.572265625,771.50390625,True,True,0.5232221969064075,0.5232221969064075,0.8410976937292727,True
2024,10,SHORT,2024-03-05 04:00:00,68215.40625,68537.03125,62386.51953125,65461.775390625,6150.51171875,True,True,0.1261035825906254,0.1261035825906254,0.9477076030894279,True
2024,11,SHORT,2024-03-13 16:00:00,72722.0390625,72841.375,67449.9140625,70145.64453125,5391.4609375,True,True,0.19057769302441505,0.19057769302441505,0.9778657512530665,True
2024,12,LONG,2024-03-21 00:00:00,67882.1640625,68880.984375,66610.125,67745.5546875,2270.859375,False,False,,,0.43984243299962156,True
2024,13,SHORT,2024-03-26 08:00:00,70505.265625,71162.59375,66422.6484375,68792.62109375,4739.9453125,True,False,0.24160682233609632,,0.8613215803847948,True
2024,14,LONG,2024-04-04 20:00:00,68461.046875,71312.171875,68245.3203125,69778.74609375,3066.8515625,True,False,0.7798816477607073,,0.9296586228242013,True
2024,15,LONG,2024-04-09 16:00:00,69214.6796875,72676.2734375,69124.5234375,70900.3984375,3551.75,True,False,0.4617508094601253,,0.9746163862884494,True
2024,16,LONG,2024-04-16 08:00:00,63541.5078125,66845.7890625,62440.484375,64643.13671875,4405.3046875,True,False,0.8723573674493996,,0.7500687204169689,True
2024,17,LONG,2024-04-25 20:00:00,64709.23046875,67215.3828125,64564.4609375,65889.921875,2650.921875,False,False,,,0.9453889861427923,True
2024,18,SHORT,2024-04-30 04:00:00,63630.40234375,64153.46875,61826.671875,62990.0703125,2326.796875,True,True,0.0,0.0,0.7751989389920424,False
2024,19,LONG,2024-05-08 04:00:00,62880.421875,65446.6640625,62785.57421875,64116.119140625,2661.08984375,False,False,,,0.9643575896271352,True
2024,21,SHORT,2024-05-21 04:00:00,71286.296875,71483.4140625,66086.171875,68784.79296875,5397.2421875,True,False,0.02579587086576333,,0.9634781652087944,False
2024,22,LONG,2024-05-28 12:00:00,68326.6640625,70560.4921875,68234.1328125,69397.3125,2326.359375,True,False,0.5167375257745808,,0.9602248685244514,True
2024,23,SHORT,2024-06-07 20:00:00,69258.5078125,70229.5234375,67589.8359375,68909.6796875,2639.6875,False,False,,,0.6321475079910027,False
2024,24,LONG,2024-06-12 16:00:00,69742.1953125,70124.4375,69232.421875,69678.4296875,892.015625,False,False,,,0.4285151255057892,True
2024,25,LONG,2024-06-18 04:00:00,65501.57421875,67188.3203125,65094.96484375,66141.642578125,2093.35546875,True,False,0.685319435192079,,0.805761906627928,True
2024,27,LONG,2024-07-02 12:00:00,62729.69921875,63777.2265625,62495.51171875,63136.369140625,1281.71484375,False,False,,,0.8172858017975185,True
2024,28,SHORT,2024-07-09 16:00:00,57483.6796875,57866.6953125,54397.46875,56132.08203125,3469.2265625,False,False,,,0.8895962491639662,True
2024,29,SHORT,2024-07-16 04:00:00,64787.59375,64863.97265625,60704.9296875,62784.451171875,4159.04296875,True,False,0.0,,0.9816354611327914,True
2024,30,LONG,2024-07-23 12:00:00,66694.828125,68458.2421875,66614.9765625,67536.609375,1843.265625,True,True,1.739077639040765,1.739077639040765,0.9566792971034763,True
2024,31,LONG,2024-07-30 04:00:00,66600.9609375,69973.3515625,66591.375,68282.36328125,3381.9765625,False,False,,,0.9971655813330315,True
2024,33,SHORT,2024-08-14 00:00:00,60603.265625,60600.03515625,57712.96875,59156.501953125,2887.06640625,True,True,0.3726141236035173,0.3726141236035173,1.001118945079686,True
2024,34,SHORT,2024-08-20 16:00:00,58825.54296875,59586.98046875,57917.34765625,58752.1640625,1669.6328125,False,False,,,0.5439491280361981,True
2024,35,LONG,2024-08-27 04:00:00,62985.6953125,64487.23828125,62853.44140625,63670.33984375,1633.796875,False,False,,,0.9190511940170041,True
2024,36,SHORT,2024-09-03 04:00:00,59101.57421875,59349.109375,57266.89453125,58308.001953125,2082.21484375,True,True,0.10218235915407084,0.10218235915407084,0.8811193009246839,False
2024,37,SHORT,2024-09-11 00:00:00,57634.66796875,57936.734375,54600.5234375,56268.62890625,3336.2109375,True,False,0.0,,0.9094582411277764,True
2024,38,SHORT,2024-09-17 12:00:00,59092.84765625,59195.609375,57526.57421875,58361.091796875,1669.03515625,False,False,,,0.9384304648316182,True
2024,39,SHORT,2024-09-25 04:00:00,64456.3203125,64733.55859375,62630.015625,63681.787109375,2103.54296875,True,False,0.0,,0.868204127337249,True
2024,41,LONG,2024-10-08 08:00:00,62286.90234375,64358.9765625,62210.0703125,63284.5234375,2148.90625,True,False,1.5783356358612666,,0.9642459826946848,True
2024,42,SHORT,2024-10-15 16:00:00,66047.890625,66457.46875,62458.0,64457.734375,3999.46875,False,False,,,0.8975918676699249,True
2024,43,LONG,2024-10-22 04:00:00,67353.515625,69427.09375,66832.296875,68129.6953125,2594.796875,True,False,0.8306903237849783,,0.7991292671030368,True
2024,44,SHORT,2024-10-31 20:00:00,69967.2734375,70212.265625,67543.765625,68878.015625,2668.5,True,False,0.14796175285741053,,0.908191048341765,True
2024,45,SHORT,2024-11-05 20:00:00,69018.0,69410.171875,66805.625,68107.8984375,2604.546875,False,False,,,0.8494279835144068,True
2024,46,SHORT,2024-11-12 08:00:00,89086.09375,89581.1640625,80331.71875,84956.44140625,9249.4453125,False,False,,,0.9464756754839184,True
2024,47,SHORT,2024-11-19 16:00:00,92488.53125,92596.7890625,89501.9375,91049.36328125,3094.8515625,False,False,,,0.9650200307466281,True
2024,48,LONG,2024-11-26 16:00:00,92865.5234375,98894.6875,92853.1171875,95873.90234375,6041.5703125,True,False,0.3422033023802535,,0.997946518974656,True
2024,49,LONG,2024-12-03 16:00:00,95707.1953125,98140.4453125,94620.703125,96380.57421875,3519.7421875,True,True,0.10825322344720738,0.27422773773824877,0.6913148379564377,False
2024,50,LONG,2024-12-10 20:00:00,95904.2265625,101222.703125,95042.921875,98132.8125,6179.78125,True,True,0.017375210489853504,0.017375210489853504,0.860625376100489,False
2024,51,SHORT,2024-12-17 16:00:00,106465.0625,107756.8359375,103377.9453125,105567.390625,4378.890625,True,True,0.09071218808987722,0.09071218808987722,0.7049998394285082,False
2024,52,SHORT,2024-12-26 12:00:00,95572.890625,96392.328125,92403.1328125,94397.73046875,3989.1953125,True,False,0.3939900160002507,,0.7945857658479839,False
2025,1,SHORT,2024-12-31 20:00:00,93996.1796875,94835.9375,91347.03125,93091.484375,3488.90625,True,False,0.07448609431680774,,0.7593062833087016,True
2025,2,SHORT,2025-01-07 04:00:00,101769.0546875,102464.4375,97959.1953125,100211.81640625,4505.2421875,True,True,0.04383435268983528,0.04383435268983528,0.845650292801268,False
2025,5,SHORT,2025-01-28 08:00:00,102779.3125,103186.03125,97906.9765625,100546.50390625,5279.0546875,True,True,0.1802420828776459,0.6634873371919393,0.9229561400522999,True
2025,7,SHORT,2025-02-11 08:00:00,98298.1796875,98311.4140625,95400.0,96855.70703125,2911.4140625,True,True,0.0,0.0,0.9954543137060223,False
2025,8,LONG,2025-02-18 12:00:00,95620.4140625,96990.8515625,95243.546875,96117.19921875,1747.3046875,True,True,1.2645592542084907,1.2645592542084907,0.7843151282108605,True
2025,9,LONG,2025-02-25 04:00:00,92152.765625,96476.515625,91393.390625,93934.953125,5083.125,True,False,2.7329291159473748,,0.8506086315012911,True
2025,10,LONG,2025-03-04 20:00:00,88222.8671875,94339.484375,85105.40625,89722.4453125,9234.078125,True,False,0.19517040310940623,,0.6623960837996484,True
2025,11,LONG,2025-03-11 04:00:00,79485.09375,83740.6640625,77524.5390625,80632.6015625,6216.125,True,True,0.0,0.06481002031008064,0.684601791711074,False
2025,12,LONG,2025-03-18 08:00:00,83196.5546875,84708.28125,82492.15625,83600.21875,2216.125,True,True,0.9029626600485081,0.9029626600485081,0.6821485983417,True
2025,14,SHORT,2025-04-03 00:00:00,82510.796875,83853.171875,81305.1484375,82579.16015625,2548.0234375,True,True,0.4843889411829635,0.4843889411829635,0.4731700736171113,False
2025,15,SHORT,2025-04-10 16:00:00,78699.6171875,81111.015625,74467.703125,77789.359375,6643.3125,False,False,,,0.6370186653871844,True
2025,16,SHORT,2025-04-15 08:00:00,85695.6875,85766.5,83706.9453125,84736.72265625,2059.5546875,True,True,0.34776555915075696,0.34776555915075696,0.9656175675111808,True
2025,17,SHORT,2025-04-22 04:00:00,88137.03125,88425.1015625,85147.6171875,86786.359375,3277.484375,False,False,,,0.9121062743434132,True
2025,18,SHORT,2025-05-04 12:00:00,95433.6640625,95589.984375,92879.1484375,94234.56640625,2710.8359375,True,False,0.12118609630908363,,0.9423350154328548,False
2025,19,LONG,2025-05-06 16:00:00,94542.515625,95188.4140625,93633.9296875,94411.171875,1554.484375,True,True,0.03064722023983033,0.03064722023983033,0.4155065485942887,False
2025,21,SHORT,2025-05-21 00:00:00,106853.828125,107038.7890625,102112.6875,104575.73828125,4926.1015625,False,False,,,0.96245287776687,True
2025,22,LONG,2025-05-27 04:00:00,108902.5625,110364.84375,108765.6328125,109565.23828125,1599.2109375,True,True,0.0,0.06836379269073127,0.9143767189873913,False
2025,23,SHORT,2025-06-03 04:00:00,105538.4609375,105951.734375,103737.8515625,104844.79296875,2213.8828125,True,True,0.5657869198982275,0.5657869198982275,0.8133264167522417,True
2025,24,LONG,2025-06-13 16:00:00,105478.0,110393.71875,105402.28125,107898.0,4991.4375,False,False,,,0.9848302718405268,False
2025,25,LONG,2025-06-18 04:00:00,105199.2109375,108914.875,105027.2890625,106971.08203125,3887.5859375,False,False,,,0.9557767010777495,True
2025,26,SHORT,2025-06-24 20:00:00,105697.1875,106052.0,99919.1640625,102985.58203125,6132.8359375,False,False,,,0.9421454440301502,True
2025,27,LONG,2025-07-01 08:00:00,107180.140625,108798.7890625,106767.9375,107783.36328125,2030.8515625,True,True,0.9948566834263644,0.9948566834263644,0.7970294173087799,True
2025,28,LONG,2025-07-08 04:00:00,107912.921875,109661.359375,107530.203125,108595.78125,2131.15625,True,True,0.0,0.0,0.8204173204099887,False
2025,29,LONG,2025-07-16 16:00:00,119154.46875,123077.6328125,118961.7734375,121019.703125,4115.859375,False,False,,,0.9531822409505912,True
2025,30,LONG,2025-07-22 04:00:00,117237.3828125,119619.109375,116589.15625,118104.1328125,3029.953125,True,True,0.0,0.0,0.786060531051945,False
2025,31,LONG,2025-07-29 20:00:00,117524.15625,119788.84375,117441.4375,118615.140625,2347.40625,True,False,0.04460042333959024,,0.9647616385105902,True
2025,32,LONG,2025-08-05 12:00:00,114812.5234375,115711.4140625,114143.5390625,114927.4765625,1567.875,True,True,1.2612114326716097,1.2612114326716097,0.573317786813362,True
2025,33,LONG,2025-08-12 12:00:00,118503.2734375,122321.09375,118244.21875,120282.65625,4076.875,True,True,0.0,0.0,0.9364575348765906,False
2025,34,LONG,2025-08-19 08:00:00,115020.03125,117614.078125,114731.1796875,116172.62890625,2882.8984375,True,False,1.1589329315386263,,0.8998051548598822,True
2025,35,LONG,2025-08-26 04:00:00,109887.8125,113599.9296875,109347.6328125,111473.78125,4252.296875,True,False,0.10182915850624846,,0.8729675506252136,True
2025,36,SHORT,2025-09-02 12:00:00,109716.6640625,109830.2265625,107285.796875,108558.01171875,2544.4296875,False,False,,,0.9553681909317842,True
2025,37,SHORT,2025-09-09 12:00:00,112470.359375,112854.5,110693.453125,111773.9765625,2161.046875,True,False,0.0,,0.8222432704056917,True
2025,38,SHORT,2025-09-17 04:00:00,116461.4296875,116728.8046875,114461.0625,115594.93359375,2267.7421875,True,False,0.33939663280176113,,0.8820963857912089,True
2025,39,LONG,2025-09-23 04:00:00,112439.0234375,115430.6328125,112066.0,113748.31640625,3364.6328125,True,False,0.313474492248179,,0.8891339833237747,True
2025,40,SHORT,2025-09-30 04:00:00,114435.53125,114459.59375,111608.578125,113034.0859375,2851.015625,True,False,0.0,,0.9915600252103143,True
2025,41,LONG,2025-10-08 20:00:00,123500.1640625,126149.0234375,123199.578125,124674.30078125,2949.4453125,False,False,,,0.8980872992538321,True
2025,43,LONG,2025-10-21 08:00:00,108131.34375,111711.03125,107574.75,109642.890625,4136.28125,True,True,0.0,0.0,0.865436193440666,False
2025,44,LONG,2025-10-28 04:00:00,113909.2890625,116078.65625,113899.0,114988.828125,2179.65625,True,False,0.0,,0.9952795022150855,True
2025,46,SHORT,2025-11-11 04:00:00,106446.6640625,106545.859375,104365.1796875,105455.51953125,2180.6796875,True,True,0.0,0.0,0.9545117455495169,False
2025,50,LONG,2025-12-09 08:00:00,90477.609375,92255.546875,89689.6640625,90972.60546875,2565.8828125,True,True,0.16623786282133646,0.16623786282133646,0.6929145366025947,False
2025,51,SHORT,2025-12-17 16:00:00,87222.421875,89983.921875,85337.203125,87660.5625,4646.71875,True,True,0.0,0.44359090756246006,0.40570967416523757,False
2025,52,LONG,2025-12-23 04:00:00,88131.7890625,90372.2109375,87933.328125,89152.76953125,2438.8828125,True,False,0.7052377337215746,,0.9186262921355514,True
2026,1,LONG,2025-12-30 04:00:00,87263.125,90269.015625,86760.265625,88514.640625,3508.75,True,True,0.0,0.03480361596009975,0.85668418240114,False
2026,3,SHORT,2026-01-13 12:00:00,91932.1484375,92384.8515625,90095.2578125,91240.0546875,2289.59375,False,False,,,0.8022779696179726,True
2026,5,SHORT,2026-01-27 04:00:00,88643.2578125,88715.4921875,86433.8046875,87574.6484375,2281.6875,True,True,0.0,0.7436210863669981,0.9683416878954721,True
